sentence,model,query_mode,prompt_type,shot_type,context_type,correct
The final score resulted in a tie between the teams.,gpt,api,direct,few,competitive_event,1
The final score resulted in a tie between the teams.,claude,api,cot,few,competitive_event,1
The final score resulted in a tie between the teams.,gpt,api,cot,few,competitive_event,1
The final score resulted in a tie between the teams.,claude,api,cot,few,competitive_event,1
The final score resulted in a tie between the teams.,gpt,api,cot,few,competitive_event,1
"After hours of debate, the vote produced a tie.",claude,api,direct,few,competitive_event,1
"After hours of debate, the vote produced a tie.",gpt,api,direct,few,competitive_event,1
"After hours of debate, the vote produced a tie.",claude,api,direct,few,competitive_event,1
"After hours of debate, the vote produced a tie.",gpt,api,direct,few,competitive_event,1
"After hours of debate, the vote produced a tie.",claude,api,cot,few,competitive_event,1
"After hours of debate, the vote produced a tie.",gpt,api,cot,few,competitive_event,1
"After hours of debate, the vote produced a tie.",claude,api,cot,few,competitive_event,1
"After hours of debate, the vote produced a tie.",gpt,api,cot,few,competitive_event,1
She used a rope to tie the boxes together.,claude,api,direct,few,physical_binding,1
She used a rope to tie the boxes together.,gpt,api,direct,few,physical_binding,1
The bank teller handed me my change.,claude,api,direct,few,financial_sense,1
The bank teller handed me my change.,gpt,api,direct,few,financial_sense,1
Extreme flooding has caused the bank to erode over time.,deepseek,api,direct,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,deepseek,api,direct,few,physical_environment,1
She used a rope to tie the boxes together.,claude,api,direct,few,physical_binding,1
She used a rope to tie the boxes together.,gpt,api,direct,few,physical_binding,1
She used a rope to tie the boxes together.,claude,api,cot,few,physical_binding,1
She used a rope to tie the boxes together.,gpt,api,cot,few,physical_binding,1
She used a rope to tie the boxes together.,claude,api,cot,few,physical_binding,1
She used a rope to tie the boxes together.,gpt,api,cot,few,physical_binding,1
He learned how to tie the knot securely.,claude,api,direct,few,physical_binding,1
He learned how to tie the knot securely.,gpt,api,direct,few,physical_binding,1
He learned how to tie the knot securely.,claude,api,direct,few,physical_binding,1
He learned how to tie the knot securely.,gpt,api,direct,few,physical_binding,1
He learned how to tie the knot securely.,claude,api,cot,few,physical_binding,1
He learned how to tie the knot securely.,gpt,api,cot,few,physical_binding,1
He learned how to tie the knot securely.,claude,api,cot,few,physical_binding,1
He learned how to tie the knot securely.,gpt,api,cot,few,physical_binding,1
They worked together to tie the fence posts in place.,claude,api,direct,few,physical_binding,1
They worked together to tie the fence posts in place.,gpt,api,direct,few,physical_binding,1
They worked together to tie the fence posts in place.,claude,api,direct,few,physical_binding,1
They worked together to tie the fence posts in place.,gpt,api,direct,few,physical_binding,1
They worked together to tie the fence posts in place.,claude,api,cot,few,physical_binding,1
They worked together to tie the fence posts in place.,gpt,api,cot,few,physical_binding,1
The bank teller handed me my change.,claude,api,direct,few,financial_sense,1
The bank teller handed me my change.,gpt,api,direct,few,financial_sense,1
Extreme flooding has caused the bank to erode over time.,deepseek,api,cot,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,deepseek,api,cot,few,physical_environment,1
They worked together to tie the fence posts in place.,claude,api,cot,few,physical_binding,1
They worked together to tie the fence posts in place.,gpt,api,cot,few,physical_binding,1
The instructions explained how to tie the cables safely.,claude,api,direct,few,physical_binding,1
The instructions explained how to tie the cables safely.,gpt,api,direct,few,physical_binding,1
The instructions explained how to tie the cables safely.,claude,api,direct,few,physical_binding,1
The instructions explained how to tie the cables safely.,gpt,api,direct,few,physical_binding,1
The instructions explained how to tie the cables safely.,claude,api,cot,few,physical_binding,1
The instructions explained how to tie the cables safely.,gpt,api,cot,few,physical_binding,1
The instructions explained how to tie the cables safely.,claude,api,cot,few,physical_binding,1
The instructions explained how to tie the cables safely.,gpt,api,cot,few,physical_binding,1
He used a file to smooth the sharp edge of the metal.,claude,api,direct,few,physical_tool_use,1
He used a file to smooth the sharp edge of the metal.,gpt,api,direct,few,physical_tool_use,1
He used a file to smooth the sharp edge of the metal.,claude,api,direct,few,physical_tool_use,1
He used a file to smooth the sharp edge of the metal.,gpt,api,direct,few,physical_tool_use,1
He used a file to smooth the sharp edge of the metal.,claude,api,cot,few,physical_tool_use,1
He used a file to smooth the sharp edge of the metal.,gpt,api,cot,few,physical_tool_use,1
He used a file to smooth the sharp edge of the metal.,claude,api,cot,few,physical_tool_use,1
He used a file to smooth the sharp edge of the metal.,gpt,api,cot,few,physical_tool_use,1
The mechanic reached for a file to remove the burrs.,claude,api,direct,few,physical_tool_use,1
The mechanic reached for a file to remove the burrs.,gpt,api,direct,few,physical_tool_use,1
The bank teller handed me my change.,claude,api,cot,few,financial_sense,1
The bank teller handed me my change.,gpt,api,cot,few,financial_sense,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,direct,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,direct,few,physical_environment,1
The mechanic reached for a file to remove the burrs.,claude,api,direct,few,physical_tool_use,1
The mechanic reached for a file to remove the burrs.,gpt,api,direct,few,physical_tool_use,1
The mechanic reached for a file to remove the burrs.,claude,api,cot,few,physical_tool_use,1
The mechanic reached for a file to remove the burrs.,gpt,api,cot,few,physical_tool_use,1
The mechanic reached for a file to remove the burrs.,claude,api,cot,few,physical_tool_use,1
The mechanic reached for a file to remove the burrs.,gpt,api,cot,few,physical_tool_use,1
She ran the file across the surface until it was smooth.,claude,api,direct,few,physical_tool_use,1
She ran the file across the surface until it was smooth.,gpt,api,direct,few,physical_tool_use,1
She ran the file across the surface until it was smooth.,claude,api,direct,few,physical_tool_use,1
She ran the file across the surface until it was smooth.,gpt,api,direct,few,physical_tool_use,1
She ran the file across the surface until it was smooth.,claude,api,cot,few,physical_tool_use,1
She ran the file across the surface until it was smooth.,gpt,api,cot,few,physical_tool_use,1
She ran the file across the surface until it was smooth.,claude,api,cot,few,physical_tool_use,1
She ran the file across the surface until it was smooth.,gpt,api,cot,few,physical_tool_use,1
She decided to file a complaint with the city office.,claude,api,direct,few,administrative_action,1
She decided to file a complaint with the city office.,gpt,api,direct,few,administrative_action,1
She decided to file a complaint with the city office.,claude,api,direct,few,administrative_action,1
She decided to file a complaint with the city office.,gpt,api,direct,few,administrative_action,1
She decided to file a complaint with the city office.,claude,api,cot,few,administrative_action,1
She decided to file a complaint with the city office.,gpt,api,cot,few,administrative_action,1
The fisherman sat quietly on the bank watching the water.,claude,api,direct,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,deepseek,api,cot,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,deepseek,api,cot,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,gpt,api,direct,few,physical_environment,1
The bank teller handed me my change.,claude,api,cot,few,financial_sense,1
The bank teller handed me my change.,gpt,api,cot,few,financial_sense,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,cot,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,cot,few,physical_environment,1
She decided to file a complaint with the city office.,claude,api,cot,few,administrative_action,1
She decided to file a complaint with the city office.,gpt,api,cot,few,administrative_action,1
They will file the paperwork before the deadline.,claude,api,direct,few,administrative_action,1
They will file the paperwork before the deadline.,gpt,api,direct,few,administrative_action,1
They will file the paperwork before the deadline.,claude,api,direct,few,administrative_action,1
They will file the paperwork before the deadline.,gpt,api,direct,few,administrative_action,1
They will file the paperwork before the deadline.,claude,api,cot,few,administrative_action,1
They will file the paperwork before the deadline.,gpt,api,cot,few,administrative_action,1
They will file the paperwork before the deadline.,claude,api,cot,few,administrative_action,1
They will file the paperwork before the deadline.,gpt,api,cot,few,administrative_action,1
He plans to file his tax return tomorrow.,claude,api,direct,few,administrative_action,1
He plans to file his tax return tomorrow.,gpt,api,direct,few,administrative_action,1
He plans to file his tax return tomorrow.,claude,api,direct,few,administrative_action,1
He plans to file his tax return tomorrow.,gpt,api,direct,few,administrative_action,1
He plans to file his tax return tomorrow.,claude,api,cot,few,administrative_action,1
He plans to file his tax return tomorrow.,gpt,api,cot,few,administrative_action,1
He plans to file his tax return tomorrow.,claude,api,cot,few,administrative_action,1
He plans to file his tax return tomorrow.,gpt,api,cot,few,administrative_action,1
She opened the file on her computer to review the report.,claude,api,direct,few,digital_record,1
She opened the file on her computer to review the report.,gpt,api,direct,few,digital_record,1
"Every Friday, I deposit my paycheck in the bank.",claude,api,direct,few,financial_sense,1
I went to the bank to apply for a loan.,deepseek,api,direct,few,financial_sense,1
I went to the bank to apply for a loan.,deepseek,api,direct,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",gpt,api,direct,few,financial_sense,1
She opened the file on her computer to review the report.,claude,api,direct,few,digital_record,1
She opened the file on her computer to review the report.,gpt,api,direct,few,digital_record,1
She opened the file on her computer to review the report.,claude,api,cot,few,digital_record,1
She opened the file on her computer to review the report.,gpt,api,cot,few,digital_record,1
She opened the file on her computer to review the report.,claude,api,cot,few,digital_record,1
She opened the file on her computer to review the report.,gpt,api,cot,few,digital_record,1
The lawyer pulled the case file from the cabinet.,claude,api,direct,few,physical_record,1
The lawyer pulled the case file from the cabinet.,gpt,api,direct,few,physical_record,1
The lawyer pulled the case file from the cabinet.,claude,api,direct,few,physical_record,1
The lawyer pulled the case file from the cabinet.,gpt,api,direct,few,physical_record,1
The lawyer pulled the case file from the cabinet.,claude,api,cot,few,physical_record,1
The lawyer pulled the case file from the cabinet.,gpt,api,cot,few,physical_record,1
The lawyer pulled the case file from the cabinet.,claude,api,cot,few,physical_record,1
The lawyer pulled the case file from the cabinet.,gpt,api,cot,few,physical_record,1
Each employee has a file stored in the archive room.,claude,api,direct,few,physical_record,1
Each employee has a file stored in the archive room.,gpt,api,direct,few,physical_record,1
Each employee has a file stored in the archive room.,claude,api,direct,few,physical_record,1
Each employee has a file stored in the archive room.,gpt,api,direct,few,physical_record,1
Each employee has a file stored in the archive room.,claude,api,cot,few,physical_record,1
Each employee has a file stored in the archive room.,gpt,api,cot,few,physical_record,1
"Every Friday, I deposit my paycheck in the bank.",claude,api,direct,few,financial_sense,1
I went to the bank to apply for a loan.,deepseek,api,cot,few,financial_sense,1
I went to the bank to apply for a loan.,deepseek,api,cot,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",gpt,api,direct,few,financial_sense,1
Each employee has a file stored in the archive room.,claude,api,cot,few,physical_record,1
Each employee has a file stored in the archive room.,gpt,api,cot,few,physical_record,1
"Every Friday, I deposit my paycheck in the bank.",claude,api,cot,few,financial_sense,1
The bank teller handed me my change.,deepseek,api,direct,few,financial_sense,1
The bank teller handed me my change.,deepseek,api,direct,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",gpt,api,cot,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",claude,api,cot,few,financial_sense,1
The bank teller handed me my change.,deepseek,api,cot,few,financial_sense,1
The bank teller handed me my change.,deepseek,api,cot,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",gpt,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,claude,api,direct,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,direct,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,direct,few,financial_sense,1
Federal law insures your money at the bank.,gpt,api,direct,few,financial_sense,1
Federal law insures your money at the bank.,claude,api,direct,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,cot,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",deepseek,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,gpt,api,direct,few,financial_sense,1
Federal law insures your money at the bank.,claude,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,deepseek,api,direct,few,financial_sense,1
Federal law insures your money at the bank.,deepseek,api,direct,few,financial_sense,1
Federal law insures your money at the bank.,gpt,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,claude,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,deepseek,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,deepseek,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,gpt,api,cot,few,financial_sense,1
The fisherman sat quietly on the bank watching the water.,claude,api,direct,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,gpt,api,direct,few,physical_environment,1
He adjusted his grip before releasing the pitch toward home plate.,deepseek,api,direct,few,physical_motion,1
He adjusted his grip before releasing the pitch toward home plate.,deepseek,api,direct,few,physical_motion,1
The fisherman sat quietly on the bank watching the water.,claude,api,cot,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,deepseek,api,direct,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,deepseek,api,direct,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,gpt,api,cot,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,claude,api,direct,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,gpt,api,direct,few,physical_environment,1
He adjusted his grip before releasing the pitch toward home plate.,deepseek,api,cot,few,physical_motion,1
He adjusted his grip before releasing the pitch toward home plate.,deepseek,api,cot,few,physical_motion,1
The fisherman sat quietly on the bank watching the water.,claude,api,cot,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,gpt,api,cot,few,physical_environment,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",deepseek,api,direct,few,physical_motion,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",deepseek,api,direct,few,physical_motion,1
The fisherman sat quietly on the bank watching the water.,claude,api,cot,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,gpt,api,cot,few,physical_environment,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",deepseek,api,cot,few,physical_motion,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",deepseek,api,cot,few,physical_motion,1
Extreme flooding has caused the bank to erode over time.,claude,api,direct,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,gpt,api,direct,few,physical_environment,1
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,api,direct,few,physical_motion,1
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,api,direct,few,physical_motion,1
Extreme flooding has caused the bank to erode over time.,claude,api,direct,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,gpt,api,direct,few,physical_environment,1
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,api,cot,few,physical_motion,1
A sudden gust of wind altered the pitch just before it reached the catcher.,deepseek,api,cot,few,physical_motion,1
Extreme flooding has caused the bank to erode over time.,claude,api,cot,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,gpt,api,cot,few,physical_environment,1
"His pitch veered slightly to the left, missing the target by inches.",deepseek,api,direct,few,physical_motion,1
"His pitch veered slightly to the left, missing the target by inches.",deepseek,api,direct,few,physical_motion,1
Extreme flooding has caused the bank to erode over time.,claude,api,cot,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,gpt,api,cot,few,physical_environment,1
"His pitch veered slightly to the left, missing the target by inches.",deepseek,api,cot,few,physical_motion,1
"His pitch veered slightly to the left, missing the target by inches.",deepseek,api,cot,few,physical_motion,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,direct,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",gpt,api,direct,few,physical_environment,1
The startup refined its pitch to better explain the value of the product.,deepseek,api,direct,few,business_communication,1
The startup refined its pitch to better explain the value of the product.,deepseek,api,direct,few,business_communication,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,direct,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",gpt,api,direct,few,physical_environment,1
The startup refined its pitch to better explain the value of the product.,deepseek,api,cot,few,business_communication,1
The startup refined its pitch to better explain the value of the product.,deepseek,api,cot,few,business_communication,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,cot,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",gpt,api,cot,few,physical_environment,1
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,api,direct,few,business_communication,1
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,api,direct,few,business_communication,1
The fisherman sat quietly on the bank watching the water.,claude,api,cot,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,deepseek,api,cot,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,deepseek,api,cot,few,physical_environment,1
The fisherman sat quietly on the bank watching the water.,gpt,api,cot,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",claude,api,cot,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",gpt,api,cot,few,physical_environment,1
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,api,cot,few,business_communication,1
"During the meeting, she delivered a clear pitch outlining projected revenue growth.",deepseek,api,cot,few,business_communication,1
I went to the bank to apply for a loan.,claude,api,direct,few,financial_sense,1
I went to the bank to apply for a loan.,gpt,api,direct,few,financial_sense,1
Investors listened carefully as the founder began his pitch.,deepseek,api,direct,few,business_communication,1
Investors listened carefully as the founder began his pitch.,deepseek,api,direct,few,business_communication,1
I went to the bank to apply for a loan.,claude,api,direct,few,financial_sense,1
I went to the bank to apply for a loan.,gpt,api,direct,few,financial_sense,1
Investors listened carefully as the founder began his pitch.,deepseek,api,cot,few,business_communication,1
Investors listened carefully as the founder began his pitch.,deepseek,api,cot,few,business_communication,1
I went to the bank to apply for a loan.,claude,api,cot,few,financial_sense,1
I went to the bank to apply for a loan.,gpt,api,cot,few,financial_sense,1
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,api,direct,few,business_communication,1
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,api,direct,few,business_communication,1
I went to the bank to apply for a loan.,claude,api,cot,few,financial_sense,1
I went to the bank to apply for a loan.,gpt,api,cot,few,financial_sense,1
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,api,cot,few,business_communication,1
"After feedback from mentors, the team revised the pitch before presenting again.",deepseek,api,cot,few,business_communication,1
The bank teller handed me my change.,claude,api,direct,few,financial_sense,1
The bank teller handed me my change.,gpt,api,direct,few,financial_sense,1
She slipped the ring onto her finger before leaving the house.,deepseek,api,direct,few,personal_adornment,1
She slipped the ring onto her finger before leaving the house.,deepseek,api,direct,few,personal_adornment,1
The bank teller handed me my change.,claude,api,direct,few,financial_sense,1
The bank teller handed me my change.,gpt,api,direct,few,financial_sense,1
She slipped the ring onto her finger before leaving the house.,deepseek,api,cot,few,personal_adornment,1
She slipped the ring onto her finger before leaving the house.,deepseek,api,cot,few,personal_adornment,1
The bank teller handed me my change.,claude,api,cot,few,financial_sense,1
The bank teller handed me my change.,gpt,api,cot,few,financial_sense,1
The antique ring was displayed under glass at the museum.,deepseek,api,direct,few,personal_adornment,1
The antique ring was displayed under glass at the museum.,deepseek,api,direct,few,personal_adornment,1
The bank teller handed me my change.,claude,api,cot,few,financial_sense,1
The bank teller handed me my change.,gpt,api,cot,few,financial_sense,1
The antique ring was displayed under glass at the museum.,deepseek,api,cot,few,personal_adornment,1
The antique ring was displayed under glass at the museum.,deepseek,api,cot,few,personal_adornment,1
"Every Friday, I deposit my paycheck in the bank.",claude,api,direct,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",gpt,api,direct,few,financial_sense,1
He noticed the ring only after the light caught the stone.,deepseek,api,direct,few,personal_adornment,1
He noticed the ring only after the light caught the stone.,deepseek,api,direct,few,personal_adornment,1
Extreme flooding has caused the bank to erode over time.,claude,api,direct,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,direct,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,direct,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,gpt,api,direct,few,physical_environment,1
"Every Friday, I deposit my paycheck in the bank.",claude,api,direct,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",gpt,api,direct,few,financial_sense,1
He noticed the ring only after the light caught the stone.,deepseek,api,cot,few,personal_adornment,1
He noticed the ring only after the light caught the stone.,deepseek,api,cot,few,personal_adornment,1
"Every Friday, I deposit my paycheck in the bank.",claude,api,cot,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",gpt,api,cot,few,financial_sense,1
The ring had been passed down through several generations.,deepseek,api,direct,few,personal_adornment,1
The ring had been passed down through several generations.,deepseek,api,direct,few,personal_adornment,1
"Every Friday, I deposit my paycheck in the bank.",claude,api,cot,few,financial_sense,1
"Every Friday, I deposit my paycheck in the bank.",gpt,api,cot,few,financial_sense,1
The ring had been passed down through several generations.,deepseek,api,cot,few,personal_adornment,1
The ring had been passed down through several generations.,deepseek,api,cot,few,personal_adornment,1
Federal law insures your money at the bank.,claude,api,direct,few,financial_sense,1
Federal law insures your money at the bank.,gpt,api,direct,few,financial_sense,1
A sudden ring echoed through the quiet hallway.,deepseek,api,direct,few,auditory_event,1
A sudden ring echoed through the quiet hallway.,deepseek,api,direct,few,auditory_event,1
Federal law insures your money at the bank.,claude,api,direct,few,financial_sense,1
Federal law insures your money at the bank.,gpt,api,direct,few,financial_sense,1
A sudden ring echoed through the quiet hallway.,deepseek,api,cot,few,auditory_event,1
A sudden ring echoed through the quiet hallway.,deepseek,api,cot,few,auditory_event,1
Federal law insures your money at the bank.,claude,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,gpt,api,cot,few,financial_sense,1
She paused when she heard a ring coming from the phone.,deepseek,api,direct,few,auditory_event,1
She paused when she heard a ring coming from the phone.,deepseek,api,direct,few,auditory_event,1
Federal law insures your money at the bank.,claude,api,cot,few,financial_sense,1
Federal law insures your money at the bank.,gpt,api,cot,few,financial_sense,1
She paused when she heard a ring coming from the phone.,deepseek,api,cot,few,auditory_event,1
She paused when she heard a ring coming from the phone.,deepseek,api,cot,few,auditory_event,1
He adjusted his grip before releasing the pitch toward home plate.,claude,api,direct,few,physical_motion,1
He adjusted his grip before releasing the pitch toward home plate.,gpt,api,direct,few,physical_motion,1
The sharp ring cut through the noise of the crowd.,deepseek,api,direct,few,auditory_event,1
The sharp ring cut through the noise of the crowd.,deepseek,api,direct,few,auditory_event,1
He adjusted his grip before releasing the pitch toward home plate.,claude,api,direct,few,physical_motion,1
He adjusted his grip before releasing the pitch toward home plate.,gpt,api,direct,few,physical_motion,1
The sharp ring cut through the noise of the crowd.,deepseek,api,cot,few,auditory_event,1
The sharp ring cut through the noise of the crowd.,deepseek,api,cot,few,auditory_event,1
He adjusted his grip before releasing the pitch toward home plate.,claude,api,cot,few,physical_motion,1
He adjusted his grip before releasing the pitch toward home plate.,gpt,api,cot,few,physical_motion,1
Everyone turned at the ring that signaled the end of class.,deepseek,api,direct,few,auditory_event,1
Everyone turned at the ring that signaled the end of class.,deepseek,api,direct,few,auditory_event,1
Extreme flooding has caused the bank to erode over time.,claude,api,direct,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,cot,few,physical_environment,1
"Janice and Steve took their family to a picnic, enjoying the breeze near the bank.",deepseek,api,cot,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,gpt,api,direct,few,physical_environment,1
He adjusted his grip before releasing the pitch toward home plate.,claude,api,cot,few,physical_motion,1
He adjusted his grip before releasing the pitch toward home plate.,gpt,api,cot,few,physical_motion,1
Everyone turned at the ring that signaled the end of class.,deepseek,api,cot,few,auditory_event,1
Everyone turned at the ring that signaled the end of class.,deepseek,api,cot,few,auditory_event,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",claude,api,direct,few,physical_motion,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",gpt,api,direct,few,physical_motion,1
A ring of stones surrounded the fire pit.,deepseek,api,direct,few,spatial_structure,1
A ring of stones surrounded the fire pit.,deepseek,api,direct,few,spatial_structure,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",claude,api,direct,few,physical_motion,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",gpt,api,direct,few,physical_motion,1
A ring of stones surrounded the fire pit.,deepseek,api,cot,few,spatial_structure,1
A ring of stones surrounded the fire pit.,deepseek,api,cot,few,spatial_structure,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",claude,api,cot,few,physical_motion,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",gpt,api,cot,few,physical_motion,1
The trees formed a ring around the clearing.,deepseek,api,direct,few,spatial_structure,1
The trees formed a ring around the clearing.,deepseek,api,direct,few,spatial_structure,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",claude,api,cot,few,physical_motion,1
"She practiced her pitch repeatedly, trying to improve both speed and accuracy.",gpt,api,cot,few,physical_motion,1
The trees formed a ring around the clearing.,deepseek,api,cot,few,spatial_structure,1
The trees formed a ring around the clearing.,deepseek,api,cot,few,spatial_structure,1
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,api,direct,few,physical_motion,1
A sudden gust of wind altered the pitch just before it reached the catcher.,gpt,api,direct,few,physical_motion,1
A dark ring appeared around the stain after it dried.,deepseek,api,direct,few,spatial_structure,1
A dark ring appeared around the stain after it dried.,deepseek,api,direct,few,spatial_structure,1
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,api,direct,few,physical_motion,1
A sudden gust of wind altered the pitch just before it reached the catcher.,gpt,api,direct,few,physical_motion,1
A dark ring appeared around the stain after it dried.,deepseek,api,cot,few,spatial_structure,1
A dark ring appeared around the stain after it dried.,deepseek,api,cot,few,spatial_structure,1
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,api,cot,few,physical_motion,1
A sudden gust of wind altered the pitch just before it reached the catcher.,gpt,api,cot,few,physical_motion,1
The planet was encircled by a faint ring of dust.,deepseek,api,direct,few,spatial_structure,1
The planet was encircled by a faint ring of dust.,deepseek,api,direct,few,spatial_structure,1
A sudden gust of wind altered the pitch just before it reached the catcher.,claude,api,cot,few,physical_motion,1
A sudden gust of wind altered the pitch just before it reached the catcher.,gpt,api,cot,few,physical_motion,1
The planet was encircled by a faint ring of dust.,deepseek,api,cot,few,spatial_structure,1
The planet was encircled by a faint ring of dust.,deepseek,api,cot,few,spatial_structure,1
"His pitch veered slightly to the left, missing the target by inches.",claude,api,direct,few,physical_motion,1
"His pitch veered slightly to the left, missing the target by inches.",gpt,api,direct,few,physical_motion,1
He straightened his tie before walking into the interview.,deepseek,api,direct,few,social_formal,1
He straightened his tie before walking into the interview.,deepseek,api,direct,few,social_formal,1
I went to the bank to apply for a loan.,deepseek,api,direct,few,financial_sense,1
I went to the bank to apply for a loan.,deepseek,api,direct,few,financial_sense,1
Extreme flooding has caused the bank to erode over time.,claude,api,cot,few,physical_environment,1
Extreme flooding has caused the bank to erode over time.,gpt,api,cot,few,physical_environment,1
"His pitch veered slightly to the left, missing the target by inches.",claude,api,direct,few,physical_motion,1
"His pitch veered slightly to the left, missing the target by inches.",gpt,api,direct,few,physical_motion,1
He straightened his tie before walking into the interview.,deepseek,api,cot,few,social_formal,1
He straightened his tie before walking into the interview.,deepseek,api,cot,few,social_formal,1
"His pitch veered slightly to the left, missing the target by inches.",claude,api,cot,few,physical_motion,1
"His pitch veered slightly to the left, missing the target by inches.",gpt,api,cot,few,physical_motion,1
The silk tie matched the jacket better than the previous one.,deepseek,api,direct,few,social_formal,1
The silk tie matched the jacket better than the previous one.,deepseek,api,direct,few,social_formal,1
"His pitch veered slightly to the left, missing the target by inches.",claude,api,cot,few,physical_motion,1
"His pitch veered slightly to the left, missing the target by inches.",gpt,api,cot,few,physical_motion,1
The silk tie matched the jacket better than the previous one.,deepseek,api,cot,few,social_formal,1
The silk tie matched the jacket better than the previous one.,deepseek,api,cot,few,social_formal,1
The startup refined its pitch to better explain the value of the product.,claude,api,direct,few,business_communication,1
